feature_id,rdf_seealso,bag_id,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,"vbo_
oppervlakte","vbo_
status","vbo_
gebruiksdoel","vbo_
bouwjaar",oppervlakte_sum,area_share,el_kwh,gas_m3,gas_kwh,co2_kg,tot_kwh,EUI_kwh_m2,EUI_el_m2,EUI_gas_m2,dak_opp_m2,dak_opp_geschikt_m2,pv_panels_pot,pv_kwh_pot,pv_co2_ton_saving,pv_kwh_used,pv_coverage_el,el_kwh_net_pv,tot_kwh_net_pv,EUI_base_kwh_m2,EUI_net_pv_kwh_m2,co2_elec_base_kg,co2_saved_pv_kg,co2_total_base_kg,co2_total_after_pv_kg,co2_reduction_kg,co2_reduction_pct,EUI_net_pv_50,EUI_net_pv_100,co2_gas_kg,EUI_el_kwh_m2,EUI_gas_kwh_m2
1236769,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000267845,0153100000267845,1957,Pand in gebruik,woonfunctie,50,55,2,55,Verblijfsobject in gebruik,woonfunctie,1957,105.0,0.00042117423376373327,3374.854200310465,1499.4851066774165,13195.468938761267,2684.0783409525757,16570.323139071734,157.8126013244927,32.14146857438538,125.6711327501073,87.0,46.0,17.0,5390.0,1.0,5390.0,1.5971060318706967,0.0,13195.468938761267,157.8126013244927,125.6711327501073,1181.1989701086627,1886.4999999999998,1181.1989701086627,-705.3010298913371,1886.4999999999998,1.5971060318706964,132.14593465782602,125.6711327501073,2684.0783409525757,32.14146857438538,125.6711327501073
1194117,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000216308,0153100000216308,2010,Pand in gebruik,woonfunctie,152,152,1,152,Verblijfsobject in gebruik,woonfunctie,2010,152.0,0.0006096998431627377,4885.503223306578,2170.683202047308,19102.012178016314,3885.5229316646814,23987.51540132289,157.8126013244927,32.14146857438538,125.67113275010733,87.0,34.0,12.0,5390.0,1.0,5390.0,1.1032640351738365,0.0,19102.012178016314,157.8126013244927,125.67113275010733,1709.9261281573022,1886.4999999999998,1709.9261281573022,-176.5738718426976,1886.4999999999998,1.1032640351738365,140.08233816659796,125.67113275010733,3885.5229316646814,32.14146857438538,125.67113275010733
1214340,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000244124,0153100000244124,2010,Pand in gebruik,woonfunctie,167,167,1,167,Verblijfsobject in gebruik,woonfunctie,2010,167.0,0.000669867590843271,5367.625251922359,2384.8953601440817,20987.07916926792,4268.9626946579065,26354.70442119028,157.8126013244927,32.141468574385385,125.6711327501073,99.0,36.0,13.0,5360.0,1.0,5360.0,0.9985793993499028,7.625251922358984,20994.70442119028,157.8126013244927,125.71679294125916,1878.6688381728254,1875.9999999999998,1878.6688381728254,2.6688381728256445,1875.9999999999998,0.9985793993499028,141.76469713287594,125.71679294125916,4268.9626946579065,32.141468574385385,125.6711327501073
1201428,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000226792,0153100000226792,2010,Pand in gebruik,woonfunctie,99,99,1,99,Verblijfsobject in gebruik,woonfunctie,2010,99.0,0.00039710713469151993,3182.005388864153,1413.8002434387072,12441.442142260625,2530.702435755286,15623.447531124777,157.8126013244927,32.141468574385385,125.67113275010732,86.0,39.0,14.0,5050.0,0.9,5050.0,1.587049480705828,0.0,12441.442142260625,157.8126013244927,125.67113275010732,1113.7018861024535,1767.5,1113.7018861024535,-653.7981138975465,1767.5,1.587049480705828,132.30755081944218,125.67113275010732,2530.702435755286,32.141468574385385,125.67113275010732
1224395,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000254657,0153100000254657,2010,Pand in gebruik,woonfunctie,95,95,1,95,Verblijfsobject in gebruik,woonfunctie,2010,95.0,0.0003810624019767111,3053.4395145666113,1356.6770012795675,11938.757611260195,2428.451832290426,14992.197125826806,157.8126013244927,32.14146857438538,125.67113275010732,87.0,24.0,8.0,4560.0,0.9,4560.0,1.493397847982989,0.0,11938.757611260195,157.8126013244927,125.67113275010732,1068.7038300983138,1596.0,1068.7038300983138,-527.2961699016862,1596.0,1.4933978479829892,133.8126013244927,125.67113275010732,2428.451832290426,32.14146857438538,125.67113275010732
1204915,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000233667,0153100000233667,2010,Pand in gebruik,woonfunctie,93,93,1,93,Verblijfsobject in gebruik,woonfunctie,2010,93.0,0.00037304003561930665,2989.1565774178407,1328.1153801999978,11687.415345759982,2377.326530557996,14676.571923177824,157.81260132449273,32.141468574385385,125.67113275010733,87.0,42.0,15.0,4830.0,0.9,4830.0,1.6158404134762179,0.0,11687.415345759982,157.81260132449273,125.67113275010733,1046.2048020962443,1690.5,1046.2048020962443,-644.2951979037557,1690.5,1.6158404134762179,131.84485938900886,125.67113275010733,2377.326530557996,32.141468574385385,125.67113275010733
1192785,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000219685,0153100000219685,1955,Pand in gebruik,woonfunctie,73,73,1,73,Verblijfsobject in gebruik,woonfunctie,1955,73.0,0.0002928163720452622,2346.327205930133,1042.4991694042992,9173.992690757834,1866.0735132336956,11520.319896687966,157.81260132449268,32.141468574385385,125.67113275010732,39.0,7.0,3.0,3110.0,0.6,3110.0,1.3254758296880982,0.0,9173.992690757834,157.81260132449268,125.67113275010732,821.2145220755465,1088.5,821.2145220755465,-267.2854779244535,1088.5,1.3254758296880982,136.51123146147899,125.67113275010732,1866.0735132336956,32.141468574385385,125.67113275010732
1217722,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241533,0153100000241533,1955,Pand in gebruik,woonfunctie,117,117,1,117,Verblijfsobject in gebruik,woonfunctie,1955,117.0,0.00046930843190815994,3760.5518232030895,1670.8548331548357,14703.522531762555,2990.830151347156,18464.074354965644,157.81260132449268,32.14146857438538,125.67113275010732,59.0,26.0,9.0,4870.0,0.9,4870.0,1.2950227064952202,0.0,14703.522531762555,157.81260132449268,125.67113275010732,1316.1931381210813,1704.5,1316.1931381210813,-388.30686187891865,1704.5,1.2950227064952202,137.00063551252688,125.67113275010732,2990.830151347156,32.14146857438538,125.67113275010732
1205138,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229505,0153100000229505,2010,Pand in gebruik,woonfunctie,114,114,1,114,Verblijfsobject in gebruik,woonfunctie,2010,114.0,0.00045727488237205327,3664.1274174799337,1628.0124015354809,14326.509133512232,2914.142198748511,17990.636550992167,157.8126013244927,32.141468574385385,125.6711327501073,81.0,42.0,15.0,4830.0,0.9,4830.0,1.3181856004674408,0.0,14326.509133512232,157.8126013244927,125.6711327501073,1282.4445961179767,1690.5,1282.4445961179767,-408.05540388202326,1690.5,1.318185600467441,136.6283907981769,125.6711327501073,2914.142198748511,32.141468574385385,125.6711327501073
1236792,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000266913,0153100000266913,1955,Pand in gebruik,woonfunctie,73,73,1,73,Verblijfsobject in gebruik,woonfunctie,1955,73.0,0.0002928163720452622,2346.327205930133,1042.4991694042992,9173.992690757834,1866.0735132336956,11520.319896687966,157.81260132449268,32.141468574385385,125.67113275010732,39.0,10.0,4.0,3140.0,0.6,3140.0,1.3382617701674044,0.0,9173.992690757834,157.81260132449268,125.67113275010732,821.2145220755465,1099.0,821.2145220755465,-277.7854779244535,1099.0,1.3382617701674047,136.3057520094242,125.67113275010732,1866.0735132336956,32.141468574385385,125.67113275010732
1200305,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000223578,0153100000223578,1955,Pand in gebruik,woonfunctie,117,117,1,117,Verblijfsobject in gebruik,woonfunctie,1955,117.0,0.00046930843190815994,3760.5518232030895,1670.8548331548357,14703.522531762555,2990.830151347156,18464.074354965644,157.81260132449268,32.14146857438538,125.67113275010732,60.0,42.0,16.0,4920.0,0.9,4920.0,1.3083186275064649,0.0,14703.522531762555,157.81260132449268,125.67113275010732,1316.1931381210813,1722.0,1316.1931381210813,-405.80686187891865,1722.0,1.3083186275064649,136.78696029885168,125.67113275010732,2990.830151347156,32.14146857438538,125.67113275010732
1191559,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000215426,0153100000215426,1955,Pand in gebruik,woonfunctie,73,73,1,73,Verblijfsobject in gebruik,woonfunctie,1955,73.0,0.0002928163720452622,2346.327205930133,1042.4991694042992,9173.992690757834,1866.0735132336956,11520.319896687966,157.81260132449268,32.141468574385385,125.67113275010732,39.0,11.0,4.0,3200.0,0.6,3200.0,1.3638336511260174,0.0,9173.992690757834,157.81260132449268,125.67113275010732,821.2145220755465,1120.0,821.2145220755465,-298.7854779244535,1120.0,1.3638336511260174,135.89479310531462,125.67113275010732,1866.0735132336956,32.141468574385385,125.67113275010732
1237785,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000269815,0153100000269815,1955,Pand in gebruik,woonfunctie,123,123,1,123,Verblijfsobject in gebruik,woonfunctie,1955,123.0,0.0004933755309803733,3953.400634649402,1756.5396963935452,15457.5493282632,3144.206056544446,19410.9499629126,157.81260132449268,32.141468574385385,125.67113275010732,65.0,44.0,16.0,5090.0,1.0,5090.0,1.287499160947394,0.0,15457.5493282632,157.81260132449268,125.67113275010732,1383.6902221272906,1781.5,1383.6902221272906,-397.80977787270945,1781.5,1.287499160947394,137.12154441392357,125.67113275010732,3144.206056544446,32.141468574385385,125.67113275010732
1240353,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272710,0153100000272710,2010,Pand in gebruik,woonfunctie,93,93,1,93,Verblijfsobject in gebruik,woonfunctie,2010,93.0,0.00037304003561930665,2989.1565774178407,1328.1153801999978,11687.415345759982,2377.326530557996,14676.571923177824,157.81260132449273,32.141468574385385,125.67113275010733,100.0,40.0,15.0,4630.0,0.9,4630.0,1.548931907742213,0.0,11687.415345759982,157.81260132449273,125.67113275010733,1046.2048020962443,1620.5,1046.2048020962443,-574.2951979037557,1620.5,1.548931907742213,132.92012820621315,125.67113275010733,2377.326530557996,32.141468574385385,125.67113275010733
1241478,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000266010,0153100000266010,2010,Pand in gebruik,woonfunctie,152,152,1,152,Verblijfsobject in gebruik,woonfunctie,2010,152.0,0.0006096998431627377,4885.503223306578,2170.683202047308,19102.012178016314,3885.5229316646814,23987.51540132289,157.8126013244927,32.14146857438538,125.67113275010733,87.0,28.0,10.0,5100.0,1.0,5100.0,1.0439047457117934,0.0,19102.012178016314,157.8126013244927,125.67113275010733,1709.9261281573022,1785.0,1709.9261281573022,-75.07387184269783,1785.0,1.0439047457117934,141.036285535019,125.67113275010733,3885.5229316646814,32.14146857438538,125.67113275010733
1254126,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000283062,0153100000283062,1955,Pand in gebruik,woonfunctie,129,129,1,129,Verblijfsobject in gebruik,woonfunctie,1955,129.0,0.0005174426300525866,4146.249446095714,1842.2245596322548,16211.576124763844,3297.581961741736,20357.825570859557,157.8126013244927,32.14146857438538,125.67113275010732,77.0,14.0,5.0,5090.0,1.0,5090.0,1.2276154790428642,0.0,16211.576124763844,157.8126013244927,125.67113275010732,1451.1873061334998,1781.5,1451.1873061334998,-330.31269386650024,1781.5,1.2276154790428642,138.08391915395006,125.67113275010732,3297.581961741736,32.14146857438538,125.67113275010732
1254816,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000290104,0153100000290104,2010,Pand in gebruik,woonfunctie,163,163,1,163,Verblijfsobject in gebruik,woonfunctie,2010,163.0,0.0006538228581284621,5239.059377624817,2327.7721179849423,20484.394638267495,4166.712091193047,25723.454015892312,157.8126013244927,32.14146857438538,125.67113275010733,96.0,42.0,15.0,4860.0,0.9,4860.0,0.9276474362471021,379.059377624817,20863.454015892312,157.8126013244927,127.99665040424732,1833.6707821686857,1701.0,1833.6707821686857,132.67078216868572,1701.0,0.9276474362471022,142.90462586437002,127.99665040424732,4166.712091193047,32.14146857438538,125.67113275010733
1258706,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000290432,0153100000290432,2010,Pand in gebruik,woonfunctie,152,152,1,152,Verblijfsobject in gebruik,woonfunctie,2010,152.0,0.0006096998431627377,4885.503223306578,2170.683202047308,19102.012178016314,3885.5229316646814,23987.51540132289,157.8126013244927,32.14146857438538,125.67113275010733,87.0,38.0,14.0,4970.0,0.9,4970.0,1.0172954090563948,0.0,19102.012178016314,157.8126013244927,125.67113275010733,1709.9261281573022,1739.5,1709.9261281573022,-29.573871842697827,1739.5,1.0172954090563948,141.46391711396637,125.67113275010733,3885.5229316646814,32.14146857438538,125.67113275010733
1262299,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293475,0153100000293475,2010,Pand in gebruik,woonfunctie,152,152,1,152,Verblijfsobject in gebruik,woonfunctie,2010,152.0,0.0006096998431627377,4885.503223306578,2170.683202047308,19102.012178016314,3885.5229316646814,23987.51540132289,157.8126013244927,32.14146857438538,125.67113275010733,87.0,32.0,12.0,5100.0,1.0,5100.0,1.0439047457117934,0.0,19102.012178016314,157.8126013244927,125.67113275010733,1709.9261281573022,1785.0,1709.9261281573022,-75.07387184269783,1785.0,1.0439047457117934,141.036285535019,125.67113275010733,3885.5229316646814,32.14146857438538,125.67113275010733
1174734,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000202605,0153100000202605,1956,Pand in gebruik,woonfunctie,109,109,1,109,Verblijfsobject in gebruik,woonfunctie,1956,109.0,0.0004372189664785422,3503.420074608007,1556.6083488365564,13698.153469761697,2786.328944417436,17201.573544369705,157.8126013244927,32.141468574385385,125.67113275010732,59.0,36.0,13.0,4230.0,0.8,4230.0,1.2073916087477148,0.0,13698.153469761697,157.8126013244927,125.67113275010732,1226.1970261128024,1480.5,1226.1970261128024,-254.3029738871976,1480.5,1.2073916087477148,138.40893159972205,125.67113275010732,2786.328944417436,32.141468574385385,125.67113275010732
1195115,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000213485,0153100000213485,1956,Pand in gebruik,woonfunctie,109,109,1,109,Verblijfsobject in gebruik,woonfunctie,1956,109.0,0.0004372189664785422,3503.420074608007,1556.6083488365564,13698.153469761697,2786.328944417436,17201.573544369705,157.8126013244927,32.141468574385385,125.67113275010732,54.0,31.0,12.0,3650.0,0.7,3650.0,1.0418390950187135,0.0,13698.153469761697,157.8126013244927,125.67113275010732,1226.1970261128024,1277.5,1226.1970261128024,-51.302973887197595,1277.5,1.0418390950187135,141.06948205843767,125.67113275010732,2786.328944417436,32.141468574385385,125.67113275010732
